commercial;contact;entreprise;nom_projet;localisation;ville;region;pays;email;telephone;type_client;type_projet;produits;statut;potentiel;canal_origine;flux_type;budget_mad;probabilite;commentaire;date_closing_est;prochaine_relance
Amine;Fondation cheikh zayd;Fondation cheikh zayd;UNIVERSITE/HEBERGEMENT;Bouznika;Bouznika;Casablanca-Settat;Maroc;;;;Institutional;;CHIFFRAGE;MOYEN;;;11500000;MED;Offre de prix envoyer aujourd'hui le samedi , un reunion a confirmer jeudi prochain pour presenter l'offre en presence directeur de projet .;20/05/2026;
Bruno;TGCC;TGCC;ANP;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Commercial;;GAGNEE;IMPORTANT;;;7200000;HIGH;;01/09/2026;
Bruno;VALORIS;VALORIS;SKY TOWER;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Commercial;;CHIFFRAGE;MOYEN;;;5500000;MED;;30/06/2026;
Bruno;BANKAI;BANKAI;TARGA PRESTIGE 300 APPT;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;VISITE;IMPORTANT;;;5340000;HIGH;;01/09/2026;
Bruno;FERMAPREFA;FERMAPREFA;THE VIEW;MARRAKECH;MARRAKECH;Marrakech-Safi;Maroc;;;;Residential;;CHIFFRAGE;MOYEN;;;5150981;MED;;01/09/2026;
Amine;GROUPE BENNANI INVEST;GROUPE BENNANI INVEST;HOTEL CASA PORT;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Hospitality;;OFFRE;IMPORTANT;;;4000000;HIGH;LA MIS A JOUR DEVIS RECU LE VENDREDI , CLIENT HORS MAROC , RDV A CONFIRMER DANS LA SEMAINE PROCHAINE POUR PRESENTER L'OFFRE ET LANCER LE TEMON;30/05/2026;
Amine;GROUPE BENNANI INVEST;GROUPE BENNANI INVEST;ZENATA BAY;Zenata;Zenata;Casablanca-Settat;Maroc;;;;Residential;;GAGNEE;IMPORTANT;;;7450000;HIGH;;30/05/2026;
Bruno;GROUPE AHOCIENIA;GROUPE AHOCIENIA;HOTEL;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Hospitality;;VISITE;MOYEN;;;5000000;MED;;30/04/2026;
Ibtissam;AEM;AEM;190 APPRTEMENT;Casablanca;Casablanca;Casablanca-Settat;Maroc;;;;Residential;;CHIFFRAGE;IMPORTANT;;;5000000;HIGH;TEMOIN LIVRE FAUX CADRE LIVRES/ REUNION A FIXER AU CHANTIER POUR VOIR L ETAT D AVANCEMENT ET PREVOIR PLANING;18/06/2026;
Bruno;ALLALI/PROBATIM;ALLALI/PROBATIM;EVERGREEN;CASABLANCA;CASABLANCA;Casablanca-Settat;Maroc;;;;Residential;;GAGNEE;IMPORTANT;;;4850000;HIGH;;30/04/2026;
